Year,Month,Immature ,Mature
2004,11,8,1853
2004,11,9,1187
2004,11,12,300
2004,11,0,0
2004,11,0,29
2004,11,0,439
2004,11,0,1620
2004,11,1,425
2004,11,0,669
2004,11,0,177
2004,11,1,202
2004,11,111,147
2004,11,409,709
2004,11,137,204
2004,11,0,109
2004,11,0,48
2004,11,0,0
2004,11,0,0
2004,11,0,0
2004,11,143,1123
2004,11,325,403
2004,11,13,182
2004,11,0,0
2004,11,0,0
2004,11,0,0
2004,11,0,0
2004,11,0,0
2004,12,0,0
2004,12,2,26
2004,12,3,84
2004,12,0,1
2004,12,2,131
2004,12,4,58
2004,12,2,205
2004,12,0,84
2004,12,0,47
2004,12,0,40
2004,12,0,0
2004,12,0,84
2004,12,5,203
2004,12,0,0
2004,12,0,0
2004,12,0,5
2004,12,0,0
2004,12,7,836
2004,12,171,6100
2004,12,20,314
2004,12,0,1
2004,12,0,5
2004,12,0,0
2004,12,2004,9593
2004,12,0,7083
2004,12,79,2441
2004,12,241,10171
2004,12,0,485
2004,12,0,5
2004,12,0,1014
2004,12,0,40
2004,12,0,297
2004,12,13,102
2004,12,0,64
2004,12,2024,5914
2004,12,360,4107
2004,12,60,4517
2004,12,12,3005
2004,12,21,2661
2004,12,8,186
2004,12,0,22
2004,12,0,334
2004,12,0,419
2004,12,1,373
2004,12,0,1877
2004,12,0,2404
2004,12,0,431
2004,12,53,7193
2004,12,1701,2267
2004,12,28,48
2004,12,282,421
2004,12,0,62
2004,12,0,78
2004,12,0,0
2004,12,0,0
2004,12,0,0
2004,12,0,0
2004,12,182,1433
2004,12,224,278
2004,12,1,19
2004,12,0,0
2004,12,0,0
2004,12,0,0
2004,12,0,0
2004,12,0,0
2004,12,0,0
2004,12,0,0
2004,12,0,0
2004,12,0,0
2005,1,22,186
2005,1,0,2
2005,1,0,27
2005,1,0,2
2005,1,0,13
2005,1,1,36
2005,1,144,174
2005,1,5,10
